Date,City,Temperature,Humidity,WindSpeed,Condition
2026-01-01,Pune,24.0,65.0,12.0,Sunny
2026-01-02,Pune,26.0,60.0,10.0,Sunny
2026-01-03,Pune,24.46153846153846,75.0,15.0,Rainy
2026-01-04,Pune,21.0,68.3076923076923,18.0,Rainy
2026-01-05,Pune,25.0,62.0,13.153846153846153,Cloudy
2026-01-06,Pune,27.0,58.0,9.0,Sunny
2026-01-07,Pune,24.46153846153846,70.0,14.0,Cloudy
2026-01-08,Pune,20.0,85.0,20.0,Rainy
2026-01-09,Pune,28.0,68.3076923076923,8.0,Sunny
2026-01-10,Pune,24.0,68.0,13.153846153846153,Cloudy
2026-01-11,Pune,29.0,55.0,7.0,Sunny
2026-01-12,Pune,19.0,88.0,22.0,Rainy
2026-01-13,Pune,23.0,72.0,13.0,Cloudy
2026-01-14,Pune,30.0,52.0,6.0,Sunny
2026-01-15,Pune,22.0,78.0,17.0,Rainy
